,actor
318,Daniel Day-Lewis
319,Laurence Fishburne
320,Anthony Hopkins
321,Liam Neeson
322,Tom Hanks
323,Morgan Freeman
324,Nigel Hawthorne
325,Paul Newman
326,John Travolta
327,Nicolas Cage
328,Richard Dreyfuss
329,Anthony Hopkins
330,Sean Penn
331,Massimo Troisi
332,Geoffrey Rush
333,Tom Cruise
334,Ralph Fiennes
335,Woody Harrelson
336,Billy Bob Thornton
337,Jack Nicholson
338,Matt Damon
339,Robert Duvall
340,Peter Fonda
341,Dustin Hoffman
342,Roberto Benigni
343,Tom Hanks
344,Ian McKellen
345,Nick Nolte
346,Edward Norton
347,Kevin Spacey
348,Russell Crowe
349,Richard Farnsworth
350,Sean Penn
351,Denzel Washington
352,Russell Crowe
353,Javier Bardem
354,Tom Hanks
355,Ed Harris
356,Geoffrey Rush
357,Denzel Washington
358,Russell Crowe
359,Sean Penn
360,Will Smith
361,Tom Wilkinson
362,Adrien Brody
363,Nicolas Cage
364,Michael Caine
365,Daniel Day-Lewis
366,Jack Nicholson
367,Sean Penn
368,Johnny Depp
369,Ben Kingsley
370,Jude Law
371,Bill Murray
372,Jamie Foxx
373,Don Cheadle
374,Johnny Depp
375,Leonardo DiCaprio
376,Clint Eastwood
377,Philip Seymour Hoffman
378,Terrence Howard
379,Heath Ledger
380,Joaquin Phoenix
381,David Strathairn
382,Forest Whitaker
383,Leonardo DiCaprio
384,Ryan Gosling
385,Peter O'Toole
386,Will Smith
387,Daniel Day-Lewis
388,George Clooney
389,Johnny Depp
390,Tommy Lee Jones
391,Viggo Mortensen
392,Sean Penn
393,Richard Jenkins
394,Frank Langella
395,Brad Pitt
396,Mickey Rourke
397,Jeff Bridges
398,George Clooney
399,Colin Firth
400,Morgan Freeman
401,Jeremy Renner
402,Colin Firth
403,Javier Bardem
404,Jeff Bridges
405,Jesse Eisenberg
406,James Franco
407,Jean Dujardin
408,Demián Bichir
409,George Clooney
410,Gary Oldman
411,Brad Pitt
412,Daniel Day-Lewis
413,Bradley Cooper
414,Hugh Jackman
415,Joaquin Phoenix
416,Denzel Washington
417,Matthew McConaughey
418,Christian Bale
419,Bruce Dern
420,Leonardo DiCaprio
421,Chiwetel Ejiofor
422,Eddie Redmayne
423,Steve Carell
424,Bradley Cooper
425,Benedict Cumberbatch
426,Michael Keaton
427,Leonardo DiCaprio
428,Bryan Cranston
429,Matt Damon
430,Michael Fassbender
431,Eddie Redmayne
432,Casey Affleck
433,Andrew Garfield
434,Ryan Gosling
435,Viggo Mortensen
436,Denzel Washington
437,Gary Oldman
438,Timothée Chalamet
439,Daniel Day-Lewis
440,Daniel Kaluuya
441,Denzel Washington
442,Rami Malek
443,Christian Bale
444,Bradley Cooper
445,Willem Dafoe
446,Viggo Mortensen
