,films
319,Schindler's List
320,Short Cuts
321,The Piano
322,The Remains of the Day
323,In the Name of the Father
324,Forrest Gump
325,Bullets over Broadway
326,Three Colours: Red
327,Quiz Show
328,Pulp Fiction
329,Braveheart
330,Leaving Las Vegas
331,Babe
332,Il Postino: The Postman
333,Dead Man Walking
334,The English Patient
335,Fargo
336,The People vs. Larry Flynt
337,Shine
338,Secrets & Lies
339,Titanic
340,The Full Monty
341,The Sweet Hereafter
342,L.A. Confidential
343,Good Will Hunting
344,Saving Private Ryan
345,Life Is Beautiful
346,Shakespeare in Love
347,The Thin Red Line
348,The Truman Show
349,American Beauty
350,The Cider House Rules
351,Being John Malkovich
352,The Insider
353,The Sixth Sense
354,Traffic
355,Billy Elliot
356,"Crouching Tiger, Hidden Dragon"
357,Gladiator
358,Erin Brockovich
359,A Beautiful Mind
360,Gosford Park
361,The Lord of the Rings: The Fellowship of the Ring
362,Mulholland Drive
363,Black Hawk Down
364,The Pianist
365,Talk to Her
366,The Hours
367,Chicago
368,Gangs of New York
369,The Lord of the Rings: The Return of the King
370,Lost in Translation
371,Mystic River
372,City of God
373,Master and Commander: The Far Side of the World
374,Million Dollar Baby
375,Ray
376,Vera Drake
377,Sideways
378,The Aviator
379,Brokeback Mountain
380,"Good Night, and Good Luck"
381,Crash
382,Capote
383,Munich
384,The Departed
385,Letters from Iwo Jima
386,The Queen
387,United 93
388,Babel
389,No Country for Old Men
390,There Will Be Blood
391,Michael Clayton
392,Juno
393,The Diving Bell and the Butterfly
394,Slumdog Millionaire
395,The Reader
396,The Curious Case of Benjamin Button
397,Frost/Nixon
398,Milk
399,The Hurt Locker
400,Avatar
401,Precious
402,Up in the Air
403,Inglourious Basterds
404,The King's Speech
405,Black Swan
406,True Grit
407,The Social Network
408,The Fighter
409,The Artist
410,Midnight in Paris
411,The Tree of Life
412,The Descendants
413,Hugo
414,Life of Pi
415,Amour
416,Silver Linings Playbook
417,Lincoln
418,Beasts of the Southern Wild
419,Gravity
420,12 Years a Slave
421,Nebraska
422,American Hustle
423,The Wolf of Wall Street
424,Birdman
425,The Grand Budapest Hotel
426,Boyhood
427,Foxcatcher
428,The Imitation Game
429,The Revenant
430,Room
431,Spotlight
432,The Big Short
433,Mad Max: Fury Road
434,La La Land
435,Hacksaw Ridge
436,Moonlight
437,Manchester by the Sea
438,Arrival
439,The Shape of Water
440,Phantom Thread
441,Lady Bird
442,Dunkirk
443,Get Out
444,Roma
445,The Favourite
446,BlacKkKlansman
447,Vice
448,Cold War
