,movie,year,genre,movie rating,director and casts,votes,duration,gross,detail
0,Green Book,-2018,"Biography, Comedy, Drama",8.2,"Director:
Peter Farrelly
| 
    Stars:
Viggo Mortensen, 
Mahershala Ali, 
Linda Cardellini, 
Sebastian Maniscalco",243148,130 min,"$85.08M
",A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.
1,Bohemian Rhapsody,-2018,"Biography, Drama, Music",8,"Director:
Bryan Singer
| 
    Stars:
Rami Malek, 
Lucy Boynton, 
Gwilym Lee, 
Ben Hardy",381028,134 min,"$216.43M
","The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985)."
2,Roma,-2018,Drama,7.8,"Director:
Alfonso Cuarón
| 
    Stars:
Yalitza Aparicio, 
Marina de Tavira, 
Diego Cortina Autrey, 
Carlos Peralta",113749,135 min,,A year in the life of a middle-class family's maid in Mexico City in the early 1970s.
3,Black Panther,-2018,"Action, Adventure, Sci-Fi",7.3,"Director:
Ryan Coogler
| 
    Stars:
Chadwick Boseman, 
Michael B. Jordan, 
Lupita Nyong'o, 
Danai Gurira",542032,134 min,"$700.06M
","T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past."
4,The Favourite,-2018,"Biography, Drama, History",7.6,"Director:
Yorgos Lanthimos
| 
    Stars:
Olivia Colman, 
Emma Stone, 
Rachel Weisz, 
Nicholas Hoult",131094,119 min,"$34.24M
","In early 18th century England, a frail Queen Anne occupies the throne and her close friend, Lady Sarah, governs the country in her stead. When a new servant, Abigail, arrives, her charm endears her to Sarah."
5,A Star Is Born,-2018,"Drama, Music, Romance",7.7,"Director:
Bradley Cooper
| 
    Stars:
Lady Gaga, 
Bradley Cooper, 
Sam Elliott, 
Greg Grunberg",275519,136 min,"$215.29M
",A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.
6,Vice,(I) (2018),"Biography, Comedy, Drama",7.2,"Director:
Adam McKay
| 
    Stars:
Christian Bale, 
Amy Adams, 
Steve Carell, 
Sam Rockwell",87105,132 min,"47.84M
","The story of Dick Cheney, an unassuming bureaucratic Washington insider, who quietly wielded immense power as Vice President to George W. Bush, reshaping the country and the globe in ways that we still feel today."
7,BlacKkKlansman,-2018,"Biography, Crime, Drama",7.5,"Director:
Spike Lee
| 
    Stars:
John David Washington, 
Adam Driver, 
Laura Harrier, 
Topher Grace",164024,135 min,"$48.69M
","Ron Stallworth, an African American police officer from Colorado Springs, CO, successfully manages to infiltrate the local Ku Klux Klan branch with the help of a Jewish surrogate who eventually becomes its leader. Based on actual events."
8,First Man,-2018,"Biography, Drama, History",7.3,"Director:
Damien Chazelle
| 
    Stars:
Ryan Gosling, 
Claire Foy, 
Jason Clarke, 
Kyle Chandler",134981,141 min,"$44.94M
","A look at the life of the astronaut, Neil Armstrong, and the legendary space mission that led him to become the first man to walk on the Moon on July 20, 1969."
9,If Beale Street Could Talk,-2018,"Drama, Romance",7.2,"Director:
Barry Jenkins
| 
    Stars:
KiKi Layne, 
Stephan James, 
Regina King, 
Teyonah Parris",29725,119 min,"14.92M
",A young woman embraces her pregnancy while she and her family set out to prove her childhood friend and lover innocent of a crime he didn't commit.
10,Free Solo,-2018,"Documentary, Sport",8.2,"Directors:
Jimmy Chin, 
Elizabeth Chai Vasarhelyi
| 
    Stars:
Alex Honnold, 
Tommy Caldwell, 
Jimmy Chin, 
Cheyne Lempe",38576,100 min,"17.54M
",Alex Honnold attempts to become the first person to ever free solo climb El Capitan.
11,Skin,(V) (2018),"Biography, Crime, Drama",7.1,"Director:
Guy Nattiv
| 
    Stars:
Jamie Bell, 
Danielle Macdonald, 
Daniel Henshall, 
Bill Camp",7853,118 min,,"A destitute young man, raised by racist skinheads and notorious among white supremacists, turns his back on hatred and violence to transform his life, with the help of a black activist and the woman he loves."
12,The Shape of Water,-2017,"Adventure, Drama, Fantasy",7.3,"Director:
Guillermo del Toro
| 
    Stars:
Sally Hawkins, 
Octavia Spencer, 
Michael Shannon, 
Doug Jones",320882,123 min,"$63.86M
","At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity."
