,movie,year,genre,movie rating,director and casts,votes,duration,gross,detail
48,Who Framed Roger Rabbit,(1988),"Animation, Adventure, Comedy",7.7,"Director:
Robert Zemeckis
| 
    Stars:
Bob Hoskins, 
Christopher Lloyd, 
Joanna Cassidy, 
Charles Fleischer",170876,104 min,"$156.45M
",A toon-hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder.
49,Mississippi Burning,(1988),"Crime, Drama, History",7.8,"Director:
Alan Parker
| 
    Stars:
Gene Hackman, 
Willem Dafoe, 
Frances McDormand, 
Brad Dourif",80439,128 min,"34.60M
","Two F.B.I. Agents, with wildly different styles, arrive in Mississippi to investigate the disappearance of some civil rights activists."
50,Working Girl,(1988),"Comedy, Drama, Romance",6.8,"Director:
Mike Nichols
| 
    Stars:
Melanie Griffith, 
Harrison Ford, 
Sigourney Weaver, 
Alec Baldwin",48415,113 min,"64.00M
","When a secretary's idea is stolen by her boss, she seizes an opportunity to steal it back by pretending she has her boss' job."
51,The Accidental Tourist,(1988),"Drama, Romance",6.8,"Director:
Lawrence Kasdan
| 
    Stars:
William Hurt, 
Kathleen Turner, 
Geena Davis, 
Amy Wright",14005,121 min,"32.63M
",An emotionally distant writer of travel guides must carry on with his life after his son is killed and his marriage crumbles.
52,A Fish Called Wanda,(1988),"Comedy, Crime",7.5,"Directors:
Charles Crichton, 
John Cleese
| 
    Stars:
John Cleese, 
Jamie Lee Curtis, 
Kevin Kline, 
Michael Palin",123880,108 min,"$63.49M
","In London, four very different people team up to commit armed robbery, then try to doublecross each other for the loot."
53,Pelle erobreren,(1987),Drama,7.8,"Director:
Bille August
| 
    Stars:
Pelle Hvenegaard, 
Max von Sydow, 
Erik Paaske, 
Björn Granath",9362,157 min,".05M
",The end of the 19th century. A boat filled with Swedish emigrants comes to the Danish island of Bornholm. Among them are Lasse and his son Pelle who move to Denmark to find work. They find ...                See full summary »
54,The Accused,(1988),"Crime, Drama",7.1,"Director:
Jonathan Kaplan
| 
    Stars:
Kelly McGillis, 
Jodie Foster, 
Bernie Coulson, 
Leo Rossi",29343,111 min,"32.07M
","After a young woman suffers a brutal gang rape in a bar one night, a prosecutor assists in bringing the perpetrators to justice, including the ones who encouraged and cheered on the attack."
55,Beetlejuice,(1988),"Comedy, Fantasy",7.5,"Director:
Tim Burton
| 
    Stars:
Alec Baldwin, 
Geena Davis, 
Michael Keaton, 
Annie McEnroe",235959,92 min,"$73.71M
","The spirits of a deceased couple are harassed by an unbearable family that has moved into their home, and hire a malicious spirit to drive them out."
56,Hôtel Terminus,(1988),"Documentary, Biography, History",7.7,"Director:
Marcel Ophüls
| 
    Stars:
Klaus Barbie, 
Claude Lanzmann, 
Marcel Ophüls, 
Johannes Schneider-Merck",1175,267 min,".34M
","A documentary about Klaus Barbie, the Gestapo chief of Lyon, and his life after the war."
57,The Milagro Beanfield War,(1988),"Comedy, Drama, Fantasy",6.8,"Director:
Robert Redford
| 
    Stars:
Rubén Blades, 
Richard Bradford, 
Sônia Braga, 
Julie Carmen",5618,117 min,"3.83M
","In the tiny town of Milagro, New Mexico, where the local water is a premium resource, shady developer Ladd Devine has conceived a glitzy resort that will ultimately siphon off all the water...                See full summary »"
