,director
241,"John G. Avildsen
"
242,"Ingmar Bergman
"
243,"Sidney Lumet
"
244,"Alan J. Pakula
"
245,"Lina Wertmüller
"
246,"Woody Allen
"
247,"George Lucas
"
248,"Herbert Ross
"
249,"Steven Spielberg
"
250,"Fred Zinnemann
"
251,"Michael Cimino
"
252,"Woody Allen
"
253,"Hal Ashby
"
254,"Warren Beatty & Buck Henry
"
255,"Alan Parker
"
256,"Robert Benton
"
257,"Francis Ford Coppola
"
258,"Bob Fosse
"
259,"Édouard Molinaro
"
260,"Peter Yates
"
261,"1980s
"
262,"Robert Redford
"
263,"David Lynch
"
264,"Roman Polanski
"
265,"Richard Rush
"
266,"Martin Scorsese
"
267,"Warren Beatty
"
268,"Hugh Hudson
"
269,"Louis Malle
"
270,"Mark Rydell
"
271,"Steven Spielberg
"
272,"Richard Attenborough
"
273,"Sidney Lumet
"
274,"Wolfgang Petersen
"
275,"Sydney Pollack
"
276,"Steven Spielberg
"
277,"James L. Brooks
"
278,"Bruce Beresford
"
279,"Ingmar Bergman
"
280,"Mike Nichols
"
281,"Peter Yates
"
282,"Miloš Forman
"
283,"Woody Allen
"
284,"Robert Benton
"
285,"Roland Joffé
"
286,"David Lean
"
287,"Sydney Pollack
"
288,"Héctor Babenco
"
289,"John Huston
"
290,"Akira Kurosawa
"
291,"Peter Weir
"
292,"Oliver Stone
"
293,"Woody Allen
"
294,"James Ivory
"
295,"Roland Joffé
"
296,"David Lynch
"
297,"Bernardo Bertolucci
"
298,"John Boorman
"
299,"Lasse Hallström
"
300,"Norman Jewison
"
301,"Adrian Lyne
"
302,"Barry Levinson
"
303,"Charles Crichton
"
304,"Mike Nichols
"
305,"Alan Parker
"
306,"Martin Scorsese
"
307,"Oliver Stone
"
308,"Woody Allen
"
309,"Kenneth Branagh
"
310,"Jim Sheridan
"
311,"Peter Weir
"
312,"1990s
"
313,"Kevin Costner
"
314,"Francis Ford Coppola
"
315,"Stephen Frears
"
316,"Barbet Schroeder
"
317,"Martin Scorsese
"
318,"Jonathan Demme
"
319,"Barry Levinson
"
320,"Ridley Scott
"
321,"John Singleton
"
322,"Oliver Stone
"
323,"Clint Eastwood
"
324,"Robert Altman
"
325,"Martin Brest
"
326,"James Ivory
"
327,"Neil Jordan
"
328,"Steven Spielberg
"
329,"Robert Altman
"
330,"Jane Campion
"
331,"James Ivory
"
332,"Jim Sheridan
"
333,"Robert Zemeckis
"
334,"Woody Allen
"
335,"Krzysztof Kieślowski
"
336,"Robert Redford
"
337,"Quentin Tarantino
"
338,"Mel Gibson
"
339,"Mike Figgis
"
340,"Chris Noonan
"
341,"Michael Radford
"
342,"Tim Robbins
"
343,"Anthony Minghella
"
344,"Joel Coen
"
345,"Miloš Forman
"
346,"Scott Hicks
"
347,"Mike Leigh
"
348,"James Cameron
"
349,"Peter Cattaneo
"
350,"Atom Egoyan
"
351,"Curtis Hanson
"
352,"Gus Van Sant
"
353,"Steven Spielberg
"
354,"Roberto Benigni
"
355,"John Madden
"
356,"Terrence Malick
"
357,"Peter Weir
"
358,"Sam Mendes
"
359,"Lasse Hallström
"
360,"Spike Jonze
"
361,"Michael Mann
"
362,"M. Night Shyamalan
"
363,"2000s
"
364,"Steven Soderbergh
"
365,"Stephen Daldry
"
366,"Ang Lee
"
367,"Ridley Scott
"
368,"Steven Soderbergh
"
369,"Ron Howard
"
370,"Robert Altman
"
371,"Peter Jackson
"
372,"David Lynch
"
373,"Ridley Scott
"
374,"Roman Polanski
"
375,"Pedro Almodóvar
"
376,"Stephen Daldry
"
377,"Rob Marshall
"
378,"Martin Scorsese
"
379,"Peter Jackson
"
380,"Sofia Coppola
"
381,"Clint Eastwood
"
382,"Fernando Meirelles
"
383,"Peter Weir
"
384,"Clint Eastwood
"
385,"Taylor Hackford
"
386,"Mike Leigh
"
387,"Alexander Payne
"
388,"Martin Scorsese
"
389,"Ang Lee
"
390,"George Clooney
"
391,"Paul Haggis
"
392,"Bennett Miller
"
393,"Steven Spielberg
"
394,"Martin Scorsese
"
395,"Clint Eastwood
"
396,"Stephen Frears
"
397,"Paul Greengrass
"
398,"Alejandro G. Iñárritu
"
399,"Coen Brothers
"
400,"Paul Thomas Anderson
"
401,"Tony Gilroy
"
402,"Jason Reitman
"
403,"Julian Schnabel
"
404,"Danny Boyle
"
405,"Stephen Daldry
"
406,"David Fincher
"
407,"Ron Howard
"
408,"Gus Van Sant
"
409,"Kathryn Bigelow
"
410,"James Cameron
"
411,"Lee Daniels
"
412,"Jason Reitman
"
413,"Quentin Tarantino
"
414,"2010s
"
415,"Tom Hooper
"
416,"Darren Aronofsky
"
417,"Coen Brothers
"
418,"David Fincher
"
419,"David O. Russell
"
420,"Michel Hazanavicius
"
421,"Woody Allen
"
422,"Terrence Malick
"
423,"Alexander Payne
"
424,"Martin Scorsese
"
425,"Ang Lee
"
426,"Michael Haneke
"
427,"David O. Russell
"
428,"Steven Spielberg
"
429,"Benh Zeitlin
"
430,"Alfonso Cuarón
"
431,"Steve McQueen
"
432,"Alexander Payne
"
433,"David O. Russell
"
434,"Martin Scorsese
"
435,"Alejandro G. Iñárritu
"
436,"Wes Anderson
"
437,"Richard Linklater
"
438,"Bennett Miller
"
439,"Morten Tyldum
"
440,"Alejandro G. Iñárritu
"
441,"Lenny Abrahamson
"
442,"Tom McCarthy
"
443,"Adam McKay
"
444,"George Miller
"
445,"Damien Chazelle
"
446,"Mel Gibson
"
447,"Barry Jenkins
"
448,"Kenneth Lonergan
"
449,"Denis Villeneuve
"
450,"Guillermo del Toro
"
451,"Paul Thomas Anderson
"
452,"Greta Gerwig
"
453,"Christopher Nolan
"
454,"Jordan Peele
"
455,"Alfonso Cuarón
"
456,"Yorgos Lanthimos
"
457,"Spike Lee
"
458,"Adam McKay
"
459,"Paweł Pawlikowski
"
